gender,C_api,C_man,E_NEds,E_Bpag,firstDay,lastDay,NEds,NDays,NActDays,NPages,NPcreated,pagesWomen,wikiprojWomen,ns_user,ns_wikipedia,ns_talk,ns_userTalk,ns_content,weightIJ,NIJ
0,unknown,3,1,1,20080416201618,20120517130611,204,1493,18,84,0,0,0,28,0,0,0,28,0.997535302103113,994
1,male,3,1,0,20120214035207,20170918090519,154,2044,34,25,0,0,0,1,0,10,3,140,1.29126262950745,974
0,unknown,3,1,2,20090207152844,20170805140441,145,3102,39,44,0,0,0,19,0,5,12,88,1.02771709743701,841
1,male,1,0,3,20090920053327,20150622025517,91,2102,15,21,1,0,0,25,4,0,7,40,0.411985187306913,297
2,female,2,1,2,20131014201646,20131205065549,157,53,12,71,0,0,0,7,0,0,26,120,1.02771709743701,841
1,male,1,2,3,20070430043422,20151017160801,260,3093,110,146,2,0,0,6,0,1,7,220,0.831953524648453,917
1,male,1,0,3,20110701053037,20120212194236,70,227,14,23,2,0,0,15,2,0,3,36,0.411985187306913,297
1,unknown,1,1,1,20040215175820,20120707213749,211,3066,42,96,17,0,0,13,3,12,4,178,0.997535302103113,994
0,unknown,3,3,2,20110523221823,20170914002421,6125,2307,611,3086,255,0,0,20,115,319,57,5196,1.00522694513289,817
0,unknown,3,0,1,20080528121640,20160621104621,58,2947,47,48,0,0,0,8,1,0,0,48,1.05714931610548,1074
0,unknown,3,2,0,20070908000955,20160904005319,784,3285,106,135,72,0,0,1,0,0,0,748,1.20440316450483,647
1,unknown,1,1,0,20090303185209,20170922005828,171,3126,45,32,1,0,0,2,22,17,10,118,1.29126262950745,974
0,unknown,3,0,0,20110928172812,20170729075307,58,2132,15,12,2,0,0,1,0,3,0,54,1.86500803160946,1277
0,unknown,3,2,3,20050718154950,20160727153036,376,4028,59,195,11,0,0,47,7,2,13,288,0.831953524648453,917
1,unknown,1,1,3,20170419053857,20170930073415,108,165,39,23,6,0,0,5,1,0,2,98,0.594368207936839,493
1,unknown,1,1,0,20110818170119,20130519153857,158,641,40,36,0,0,0,116,0,0,5,36,1.29126262950745,974
0,unknown,3,0,1,20080519030114,20160911170630,75,3038,49,17,0,0,0,1,4,0,4,64,1.05714931610548,1074
0,unknown,3,3,3,20150309200634,20170718145207,1816,863,112,240,14,0,0,96,16,44,26,1473,1.48165413798567,1596
2,unknown,2,2,0,20071220105037,20150729145128,283,2779,97,152,0,0,0,3,9,7,12,247,1.20440316450483,647
0,unknown,3,3,0,20080411155422,20170930124953,1366,3460,606,786,58,0,0,2,27,11,21,1264,0.865617488080534,412
0,unknown,3,0,1,20050611072029,20130726031944,85,2968,32,45,7,0,0,3,2,10,0,70,1.05714931610548,1074
1,male,1,2,3,20040808184229,20130704194047,228,3253,36,203,13,0,0,5,1,2,0,218,0.831953524648453,917
0,unknown,3,0,0,20150724162134,20150726162854,56,3,2,15,0,0,0,7,4,18,10,17,1.86500803160946,1277
1,male,1,1,3,20091114021622,20120704002152,200,964,45,88,5,0,0,48,1,1,43,89,0.594368207936839,493
1,male,1,1,3,20110224232737,20170902101830,139,2383,21,35,2,0,0,1,5,6,30,97,0.594368207936839,493
1,unknown,1,1,3,20130208050528,20150922113452,128,957,22,59,1,0,0,45,0,2,48,27,0.594368207936839,493
1,male,3,3,1,20110209051001,20170905210428,1864,2401,401,323,8,0,0,3,1,1,0,695,0.661673179614133,477
0,unknown,3,3,2,20090911200906,20170328135829,2720,2756,467,478,28,0,0,160,142,135,60,1979,1.00522694513289,817
0,unknown,3,2,0,20130422172859,20130502001019,244,11,7,9,3,0,0,2,0,5,4,233,1.20440316450483,647
0,unknown,3,2,2,20100910234220,20151226190355,326,1934,48,154,1,0,0,1,0,3,0,279,0.915024129447388,978
0,unknown,3,3,2,20130709041413,20170921142857,2182,1536,293,774,50,0,0,41,26,0,128,1835,1.00522694513289,817
0,unknown,3,0,0,20170414225231,20171002014821,74,172,9,52,0,0,0,1,0,0,1,72,1.86500803160946,1277
0,unknown,3,2,3,20070101160552,20140610131438,232,2718,28,42,9,0,0,41,16,7,5,156,0.831953524648453,917
1,male,3,2,1,20080120220115,20131215021359,306,2157,66,222,0,0,0,13,7,6,112,164,0.982449108801872,752
1,unknown,1,0,2,20070403180654,20170113151833,92,3574,15,16,1,0,0,63,0,2,0,27,0.800528377424059,664
0,unknown,3,2,1,20040127123618,20170712004111,402,4916,147,126,30,0,0,15,3,35,12,328,0.982449108801872,752
1,male,1,1,0,20130216223914,20161217052708,121,1401,33,79,0,0,0,6,8,0,26,74,1.29126262950745,974
1,unknown,1,1,2,20080811040811,20170703175018,159,3249,46,38,14,0,0,12,0,7,0,136,1.02771709743701,841
0,unknown,3,1,2,20070407113642,20161019212321,188,3484,87,106,17,0,0,4,0,0,0,179,1.02771709743701,841
1,male,1,0,2,20130803222353,20161231181234,69,1247,19,16,0,0,0,2,8,0,9,50,0.800528377424059,664
1,male,3,3,1,20110714200013,20170910233438,4514,2251,545,1175,121,0,0,4,2,301,10,4103,0.661673179614133,477
1,male,1,2,2,20061113034220,20170818210604,742,3932,202,221,30,0,0,15,4,13,43,657,0.915024129447388,978
0,unknown,3,3,3,20080411180626,20170729231402,3018,3397,286,644,86,0,0,56,15,91,93,2432,1.48165413798567,1596
1,male,3,2,2,20110521224812,20170920134245,535,2315,133,109,5,0,0,28,0,56,15,337,0.915024129447388,978
1,unknown,1,3,3,20051010152448,20170803081406,1172,4316,325,543,49,0,0,55,44,25,46,967,1.48165413798567,1596
0,unknown,3,2,2,20110202193905,20170505194725,466,2285,84,110,4,0,0,40,1,5,4,394,0.915024129447388,978
0,unknown,3,1,0,20081218141604,20160426155022,97,2687,22,19,1,0,0,10,0,1,0,85,1.29126262950745,974
1,male,1,1,0,20080330185100,20151008050207,144,2749,45,30,0,0,0,2,0,7,0,134,1.29126262950745,974
1,male,1,3,3,20050409033032,20171001185111,6937,4559,851,4570,788,0,0,311,51,110,114,5744,1.48165413798567,1596
0,unknown,3,1,1,20080928012100,20130612025725,99,1719,32,44,10,0,0,11,1,5,2,77,0.997535302103113,994
1,male,3,2,0,20110119095355,20170626154224,398,2351,166,70,0,0,0,3,2,65,55,272,1.20440316450483,647
1,male,3,1,3,20101116174812,20170505085735,198,2363,64,75,5,0,0,78,18,9,8,64,0.594368207936839,493
1,male,3,3,0,20050515235147,20170912140654,4170,4504,515,1131,79,0,0,55,84,63,56,3794,0.865617488080534,412
0,unknown,3,1,0,20150530163647,20150620182316,110,22,15,21,4,0,0,33,1,4,0,72,1.29126262950745,974
0,unknown,3,3,0,20140212194010,20170918113756,5524,1315,310,4462,10,0,0,76,207,4,130,3440,0.865617488080534,412
1,male,3,0,1,20141013123428,20141017011711,53,5,2,1,0,0,0,53,0,0,0,0,1.05714931610548,1074
0,unknown,3,2,1,20060102203502,20140507161557,516,3048,45,82,11,1,0,12,9,113,45,319,0.982449108801872,752
1,male,1,2,2,20120430213058,20160803064059,441,1557,75,133,1,0,0,14,13,3,4,402,0.915024129447388,978
0,unknown,3,0,0,20140103152736,20140103204234,50,1,1,7,0,0,0,1,33,0,0,0,1.86500803160946,1277
1,male,1,2,3,20091021083316,20160612071929,824,2427,100,72,10,0,0,138,16,14,42,608,0.831953524648453,917
1,male,1,1,1,20060529152213,20170417150627,167,3977,57,81,2,0,0,17,4,5,4,129,0.997535302103113,994
1,male,1,0,3,20100614005203,20150528004640,87,1810,23,21,1,0,0,47,1,0,3,30,0.411985187306913,297
1,unknown,1,2,2,20030101055458,20170823162030,232,5349,109,137,20,0,0,22,4,11,26,163,0.915024129447388,978
1,male,1,3,1,20151010205602,20171002014845,1596,724,138,203,42,0,0,77,3,7,16,1227,0.661673179614133,477
0,unknown,3,1,2,20060806134346,20170120125507,102,3821,28,10,4,0,0,19,7,0,1,75,1.02771709743701,841
1,unknown,1,2,2,20080212212713,20121008211812,630,1701,115,169,24,0,0,6,0,50,16,510,0.915024129447388,978
0,unknown,3,2,0,20140817124119,20150218221305,308,186,26,42,18,0,0,1,4,1,1,284,1.20440316450483,647
1,male,3,3,3,20080831003628,20150923045812,6093,2580,707,1444,132,0,0,562,476,128,1367,2977,1.48165413798567,1596
0,unknown,3,0,3,20150404073605,20160425071732,86,388,15,21,7,0,0,10,0,0,0,43,0.411985187306913,297
1,unknown,1,2,2,20041030231233,20120624162935,456,2795,70,10,0,0,0,78,0,0,12,366,0.915024129447388,978
1,unknown,1,1,3,20090515011819,20150726205751,126,2264,45,21,1,0,0,36,0,0,0,37,0.594368207936839,493
1,male,1,0,2,20130508074403,20131204024827,50,211,9,15,1,0,0,14,2,3,1,29,0.800528377424059,664
1,male,1,2,1,20141122211249,20171001210732,785,1045,276,30,1,0,0,2,8,3,8,763,0.982449108801872,752
1,unknown,1,3,1,20060513201616,20161018101818,6096,3812,429,3682,79,0,0,141,241,64,171,5097,0.661673179614133,477
1,male,1,1,3,20151107103457,20170611130251,117,583,10,16,6,0,4,63,3,2,2,43,0.594368207936839,493
2,female,2,1,3,20060309210726,20170915041311,128,4209,38,58,4,0,0,41,6,3,12,64,0.594368207936839,493
1,male,1,0,1,20070912223051,20160116194602,58,3049,18,20,0,0,0,4,0,3,0,50,1.05714931610548,1074
1,unknown,1,1,1,20130324220921,20150511180644,170,779,18,113,0,0,0,4,2,6,5,140,0.997535302103113,994
1,male,3,1,1,20130608170604,20151228201638,162,934,22,56,3,0,0,9,9,2,20,121,0.997535302103113,994
2,female,3,0,1,20131206025416,20171001000257,77,1396,16,15,1,0,2,4,0,0,8,63,1.05714931610548,1074
0,unknown,3,3,0,20100328150521,20170520103457,1415,2611,362,704,83,0,0,7,23,36,44,1176,0.865617488080534,412
1,male,3,3,3,20060424203307,20170913023352,900,4161,298,249,14,0,0,57,83,85,173,493,1.48165413798567,1596
2,female,2,1,3,20110731134137,20170302163309,144,2042,47,65,6,0,0,33,0,0,7,104,0.594368207936839,493
0,unknown,3,3,0,20080808100101,20170925172014,3554,3336,416,1387,88,1,0,133,25,392,151,2724,0.865617488080534,412
1,unknown,1,1,2,20100318011959,20130411220628,145,1121,19,79,1,0,0,3,0,7,16,118,1.02771709743701,841
1,unknown,1,0,0,20070202150114,20120417130810,75,1902,20,19,2,0,0,2,0,0,1,72,1.86500803160946,1277
0,unknown,3,2,0,20051116220903,20130529020316,316,2752,206,193,0,0,0,2,0,3,6,271,1.20440316450483,647
1,unknown,1,0,3,20090922193007,20120429102619,93,951,25,15,2,0,0,69,0,1,2,11,0.411985187306913,297
1,male,1,2,3,20161028204758,20170809192128,570,286,89,135,16,0,0,78,4,2,15,462,0.831953524648453,917
0,unknown,3,1,2,20081129221504,20161113093719,201,2907,50,59,5,0,0,55,4,11,11,81,1.02771709743701,841
2,unknown,2,0,1,20161020094358,20170520101950,70,213,14,10,0,0,0,51,1,0,3,13,1.05714931610548,1074
0,unknown,3,0,0,20060526222424,20170529224605,50,4022,7,13,0,0,0,1,11,7,2,29,1.86500803160946,1277
0,unknown,3,0,2,20060607132923,20161124133902,89,3824,20,13,0,0,0,25,1,5,0,58,0.800528377424059,664
0,unknown,3,1,3,20060912193816,20140825032813,95,2905,26,38,1,0,0,16,0,2,0,76,0.594368207936839,493
1,male,3,1,0,20100613203203,20170725131957,107,2600,82,96,0,0,0,4,3,0,1,58,1.29126262950745,974
1,unknown,1,0,2,20081107191548,20161020193945,61,2905,11,12,3,0,0,5,0,0,0,56,0.800528377424059,664
1,unknown,1,1,0,20140820195155,20141120212923,193,93,23,18,2,0,0,117,0,2,0,74,1.29126262950745,974
0,unknown,3,1,1,20080610002230,20170126232540,137,3153,61,53,8,0,0,29,1,24,3,76,0.997535302103113,994
2,unknown,2,2,2,20140823165509,20141115173042,269,85,37,25,8,0,0,184,0,6,1,78,0.915024129447388,978
1,male,1,2,0,20060430162849,20130116232501,470,2454,162,143,5,0,0,8,0,6,1,449,1.20440316450483,647
1,male,1,1,2,20110405141056,20170820214328,121,2330,37,57,1,0,0,30,6,8,2,57,1.02771709743701,841
2,unknown,2,1,1,20161020075533,20170515184917,109,208,19,9,0,0,0,91,0,1,13,4,0.997535302103113,994
2,unknown,2,0,0,20050523110105,20120527182251,88,2562,15,11,2,0,0,2,0,1,2,83,1.86500803160946,1277
1,unknown,1,0,3,20170204141433,20170206180426,61,3,3,3,1,0,0,60,0,0,0,1,0.411985187306913,297
1,male,1,3,3,20080226212844,20170715133949,2853,3428,413,1031,37,1,0,128,82,159,218,1354,1.48165413798567,1596
1,unknown,1,3,1,20051021170021,20170907113620,2218,4340,546,932,27,0,0,10,112,128,89,1825,0.661673179614133,477
1,unknown,1,3,3,20080202155927,20160321154717,1645,2971,299,294,175,0,0,319,6,1,5,1284,1.48165413798567,1596
1,male,3,3,3,20050501120721,20170619095906,5793,4433,687,1322,264,0,0,136,185,250,558,4292,1.48165413798567,1596
1,unknown,1,2,3,20081203133053,20120411092803,257,1226,24,82,6,0,0,6,0,4,0,246,0.831953524648453,917
1,unknown,1,3,2,20140301041133,20171001034734,4707,1311,465,1938,174,0,0,7,1,9,8,4551,1.00522694513289,817
1,unknown,1,0,1,20070724145216,20141210182018,51,2697,17,18,5,0,0,6,0,0,0,45,1.05714931610548,1074
1,male,1,2,2,20150811134425,20170906035842,842,758,167,412,47,0,0,52,1,52,50,607,0.915024129447388,978
1,male,3,3,2,20040113144530,20170111152933,5320,4748,555,2107,143,0,0,664,370,92,381,3525,1.00522694513289,817
0,unknown,3,0,3,20060517024859,20121010153711,83,2339,25,47,4,0,0,8,1,8,5,56,0.411985187306913,297
0,unknown,3,1,1,20110412131554,20170906141627,109,2340,19,20,4,0,0,3,0,14,32,60,0.997535302103113,994
1,male,1,1,1,20140202214149,20170321173634,132,1144,20,29,0,0,0,28,0,31,2,68,0.997535302103113,994
1,male,3,3,3,20100922135218,20151026225343,12305,1861,895,3540,31,0,0,287,3906,854,755,6250,1.48165413798567,1596
0,unknown,3,3,2,20080126214043,20170928074336,2367,3534,302,811,25,0,0,30,0,2,3,2153,1.00522694513289,817
0,unknown,3,2,2,20071009211432,20131217192529,488,2262,58,77,14,0,0,28,11,11,39,389,0.915024129447388,978
1,unknown,1,2,3,20070730215301,20141130051630,692,2681,151,216,29,0,0,232,24,5,104,266,0.831953524648453,917
0,unknown,3,0,1,20140908125026,20151126060400,56,445,12,8,0,0,0,1,0,10,10,35,1.05714931610548,1074
2,female,2,3,3,20091011155914,20170727223604,27952,2847,1512,8379,44,86,0,349,3247,1494,3047,19377,1.48165413798567,1596
1,male,3,3,1,20160326193345,20170901015021,1131,525,137,485,0,0,0,139,119,21,288,492,0.661673179614133,477
0,unknown,3,0,1,20140502012610,20140614172713,51,44,3,24,0,0,0,4,0,0,0,47,1.05714931610548,1074
1,unknown,1,2,3,20071007164551,20150403143211,553,2736,72,71,4,0,0,152,2,22,71,296,0.831953524648453,917
1,unknown,1,0,1,20080102182113,20161209205554,76,3265,27,16,4,0,0,4,0,0,4,68,1.05714931610548,1074
1,unknown,1,2,2,20071111000833,20141029020655,725,2545,206,309,14,0,0,18,3,13,14,587,0.915024129447388,978
1,male,1,3,3,20121011223110,20171001183753,1739,1817,359,313,5,0,0,52,68,119,36,1411,1.48165413798567,1596
1,male,1,1,2,20100701003629,20130607013133,109,1073,42,12,0,0,0,19,1,3,84,2,1.02771709743701,841
1,male,1,0,3,20100302163348,20161128221743,64,2464,19,16,0,0,0,36,4,0,15,9,0.411985187306913,297
1,male,1,0,1,20090510164014,20120422005544,54,1079,10,25,2,0,0,6,1,2,5,35,1.05714931610548,1074
1,male,1,0,1,20121125212606,20170831200429,70,1741,14,16,0,0,0,3,0,0,0,55,1.05714931610548,1074
0,unknown,3,0,1,20070421132554,20160925091004,64,3446,34,31,1,0,0,2,0,1,0,61,1.05714931610548,1074
0,unknown,3,1,2,20161115132308,20170329182526,145,135,18,38,3,0,0,5,0,0,2,137,1.02771709743701,841
2,unknown,2,2,2,20140531154829,20140730234742,264,61,23,28,2,0,0,124,0,7,5,128,0.915024129447388,978
1,male,1,3,2,20090529185401,20170927153100,1277,3044,326,189,17,0,0,38,19,67,194,814,1.00522694513289,817
1,unknown,1,1,0,20041201180901,20160409002707,216,4148,54,155,2,0,0,5,5,46,29,123,1.29126262950745,974
1,male,1,2,0,20091224010434,20160719154746,255,2400,69,42,2,0,0,1,0,10,1,133,1.20440316450483,647
1,male,3,1,0,20150530152734,20170724183113,144,787,31,54,0,0,0,18,1,2,1,119,1.29126262950745,974
1,unknown,1,1,3,20130827004041,20150227083135,96,550,27,9,2,0,0,35,0,0,2,56,0.594368207936839,493
1,unknown,1,2,2,20090317112534,20150323100137,325,2198,31,29,6,0,0,34,3,7,3,270,0.915024129447388,978
1,male,1,3,2,20080730194143,20170831134158,12940,3320,1154,1231,15,0,0,880,231,418,1139,7559,1.00522694513289,817
1,male,3,3,1,20050705222802,20130201185947,3298,2769,655,1030,79,0,0,789,514,166,138,1306,0.661673179614133,477
1,unknown,1,1,2,20161203030557,20161230005818,201,28,18,41,1,0,0,56,3,0,16,42,1.02771709743701,841
0,unknown,3,1,0,20140603225258,20141103023921,200,154,45,91,3,0,0,44,26,3,23,94,1.29126262950745,974
0,unknown,3,1,3,20070319181036,20170713011718,134,3770,55,66,1,0,0,37,1,4,1,82,0.594368207936839,493
1,unknown,1,0,0,20090717165310,20161126020254,52,2690,27,32,0,0,0,1,0,0,0,43,1.86500803160946,1277
0,unknown,3,0,1,20050305184000,20130513214115,55,2992,14,9,2,0,0,3,0,0,0,52,1.05714931610548,1074
0,unknown,3,0,2,20110511012019,20121026005647,85,535,35,33,2,0,0,9,0,1,19,52,0.800528377424059,664
1,male,1,3,2,20110708183513,20170828040450,3347,2244,432,1573,36,0,0,214,123,201,105,1925,1.00522694513289,817
1,unknown,1,2,2,20061001051229,20120514171024,451,2053,48,53,9,0,0,47,0,24,44,277,0.915024129447388,978
0,unknown,3,0,0,20140905231634,20140919232629,53,15,5,4,1,0,0,52,0,0,0,1,1.86500803160946,1277
1,male,1,0,2,20100422005029,20161123043646,91,2408,36,43,0,0,0,24,4,2,0,57,0.800528377424059,664
1,male,1,3,3,20110512192212,20161102220925,1686,2002,242,275,9,0,0,508,18,68,33,439,1.48165413798567,1596
1,male,1,1,1,20060114160932,20141112201534,127,3225,20,47,3,0,0,11,9,8,0,93,0.997535302103113,994
1,unknown,1,1,0,20090302142330,20151030033307,161,2434,75,94,2,0,0,1,3,42,26,89,1.29126262950745,974
2,female,3,1,1,20130802114100,20150316180353,147,592,16,70,2,0,0,6,8,27,6,96,0.997535302103113,994
1,unknown,1,1,3,20121203184352,20121208013423,95,6,4,18,1,0,0,4,0,0,0,90,0.594368207936839,493
1,male,1,3,2,20050818035354,20171001044747,8838,4428,2478,311,1,0,0,45,84,194,237,8122,1.00522694513289,817
0,unknown,3,3,2,20071009222748,20131227142001,1140,2272,157,320,16,0,0,141,26,47,48,683,1.00522694513289,817
1,male,1,3,2,20120815045144,20170921034625,1678,1864,477,240,5,0,0,16,18,38,93,1163,1.00522694513289,817
1,male,3,2,2,20060630223912,20170710190631,656,4029,176,225,12,0,0,88,30,13,8,412,0.915024129447388,978
1,unknown,1,0,2,20140721224701,20150514012543,74,298,29,19,0,0,0,5,0,1,6,56,0.800528377424059,664
1,unknown,1,1,0,20130425001737,20170830213314,101,1589,71,81,0,0,0,2,0,1,0,92,1.29126262950745,974
1,male,1,0,1,20121028193444,20121030011801,72,3,3,58,1,0,0,2,0,1,5,60,1.05714931610548,1074
1,unknown,1,0,3,20110911215444,20170528141045,57,2087,20,22,0,0,0,4,0,1,0,52,0.411985187306913,297
0,unknown,3,2,0,20060923173425,20170701091512,231,3935,100,121,7,0,0,2,11,14,4,198,1.20440316450483,647
1,unknown,1,2,2,20050419063528,20150406150658,411,3640,107,82,4,0,0,24,7,25,43,305,0.915024129447388,978
1,male,1,1,3,20081218050949,20170904123015,175,3183,89,107,0,0,0,26,2,16,2,125,0.594368207936839,493
1,unknown,1,1,1,20140729020523,20170601204135,142,1039,23,33,1,0,0,3,0,0,0,103,0.997535302103113,994
1,unknown,1,1,1,20161020094144,20170518183308,119,211,19,11,1,0,0,89,2,2,3,23,0.997535302103113,994
1,male,1,0,3,20130422155719,20141130043057,56,588,18,19,1,0,0,1,0,0,4,49,0.411985187306913,297
0,unknown,3,0,3,20150530215654,20160106191532,69,222,23,36,0,0,0,1,0,1,7,43,0.411985187306913,297
1,unknown,1,2,1,20140916211301,20170926182304,521,1107,117,101,2,0,0,5,0,0,3,513,0.982449108801872,752
1,unknown,1,2,2,20160820133017,20170120033345,273,154,54,33,8,0,0,89,2,10,1,171,0.915024129447388,978
1,unknown,1,3,3,20051220124813,20130603053837,2598,2723,223,1354,21,0,0,183,330,63,251,1678,1.48165413798567,1596
0,unknown,3,1,3,20110327013654,20160606072813,135,1899,26,32,0,0,0,41,0,0,0,46,0.594368207936839,493
